order,seasonal,aic
"(0, 0, 0)","(1, 1, 1, 5)",3642.9914892734364
"(0, 0, 0)","(1, 1, 0, 5)",3644.612556456998
"(0, 0, 0)","(1, 0, 1, 5)",3667.487094140427
"(0, 0, 0)","(0, 1, 0, 5)",3674.936220263172
"(0, 0, 0)","(1, 0, 0, 5)",3683.3382522183583
"(1, 0, 2)","(0, 0, 1, 5)",4092.129246807441
"(0, 0, 2)","(0, 0, 1, 5)",4643.934694118918
"(2, 0, 2)","(1, 0, 0, 5)",4783.788235403637
"(1, 0, 2)","(1, 0, 1, 5)",4840.331849571706
"(2, 0, 2)","(0, 0, 0, 5)",4915.812699103188
"(2, 0, 2)","(1, 0, 1, 5)",4964.975773223141
"(0, 0, 2)","(0, 0, 0, 5)",5354.659064939637
"(0, 0, 1)","(0, 0, 1, 5)",5405.920783922915
"(0, 0, 1)","(0, 0, 0, 5)",6076.1118188307455
"(0, 0, 0)","(0, 0, 1, 5)",6105.15760626502
"(0, 0, 0)","(0, 0, 0, 5)",6931.583394865485
