order,seasonal,aic
"(0, 0, 2)","(1, 0, 1, 5)",5306.793932208806
"(0, 0, 0)","(1, 1, 1, 5)",5327.213791447035
"(0, 0, 0)","(0, 1, 1, 5)",5350.805949180311
"(0, 0, 0)","(1, 1, 0, 5)",5356.8275962092575
"(0, 0, 0)","(1, 0, 1, 5)",5380.032540794387
"(0, 0, 0)","(0, 1, 0, 5)",5387.482507202884
"(0, 0, 0)","(1, 0, 0, 5)",5388.087287927328
"(2, 0, 1)","(0, 0, 0, 5)",6116.880324924779
"(2, 0, 2)","(1, 0, 0, 5)",6652.637814850403
"(0, 0, 2)","(0, 0, 1, 5)",6951.795798213263
"(1, 0, 2)","(0, 0, 1, 5)",7526.92739499781
"(1, 0, 1)","(1, 0, 1, 5)",7577.3758963745495
"(1, 0, 0)","(1, 0, 1, 5)",7578.26394016269
"(2, 0, 2)","(0, 0, 1, 5)",7643.026487655519
"(0, 0, 2)","(0, 0, 0, 5)",7650.393714628737
"(2, 0, 2)","(1, 0, 1, 5)",7661.917016151514
"(0, 0, 1)","(0, 0, 1, 5)",7674.788883456775
"(2, 0, 1)","(0, 0, 1, 5)",7679.063863000937
"(2, 0, 1)","(1, 0, 0, 5)",7679.333234434924
"(1, 0, 2)","(1, 0, 0, 5)",7679.816854590934
"(2, 0, 1)","(1, 0, 1, 5)",7687.134098778157
"(2, 0, 2)","(0, 0, 0, 5)",7692.280417233951
"(1, 0, 2)","(1, 0, 1, 5)",7700.011686409292
"(2, 0, 0)","(1, 0, 1, 5)",7803.84673180778
"(0, 0, 1)","(0, 0, 0, 5)",8501.79232473614
"(0, 0, 0)","(0, 0, 1, 5)",8503.959316361877
"(0, 0, 0)","(0, 0, 0, 5)",9407.063302477782
