date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,hybrid_predicted,best_model_predicted,best_model,sentiment,was_split,split_ratio
2025-07-18,1176.25,1174.39111328125,985.7336493043365,988.376389539569,990.9789925076739,1174.39111328125,XGBoost,0.125,True,5
2025-07-21,1200.0,1183.5233154296875,982.6515508864281,988.2574739189282,990.5169584929527,1183.5233154296875,XGBoost,0.7142857142857143,True,5
2025-07-22,1190.0,1175.076904296875,986.0067099020797,982.3201242068018,989.0437919433552,1175.076904296875,XGBoost,0.25,True,5
2025-07-23,1242.5,1103.4072265625,986.8309878266452,977.3035006895778,985.9364107401104,1103.4072265625,XGBoost,0.2,True,5
2025-07-24,1248.75,1096.0101318359375,986.8263673241014,978.1496286769155,986.3198959345639,1096.0101318359375,XGBoost,0.2857142857142857,True,5
2025-07-25,1223.75,1077.6856689453125,984.7272717913377,978.1496286769155,986.6707183759275,1077.6856689453125,XGBoost,0.7142857142857143,True,5
2025-07-28,1223.75,1071.669921875,987.5743812015432,978.6894468602828,987.487589040877,1071.669921875,XGBoost,0.3333333333333333,True,5
2025-07-29,1237.5,1061.46240234375,988.9088902342236,984.9953224123108,988.1026109526717,1061.46240234375,XGBoost,0.2,True,5
2025-07-30,1226.25,1056.110595703125,989.887274335428,983.3366708607407,987.4393771703814,1056.110595703125,XGBoost,0.125,True,5
2025-07-31,1213.75,1037.3455810546875,991.1714157400872,980.5306722060607,986.8374541268747,1037.3455810546875,XGBoost,0.0,True,5
2025-08-01,1207.5,1039.9805908203125,990.8193088948643,984.2650718133884,988.1653568397977,1039.9805908203125,XGBoost,0.1428571428571428,True,5
2025-08-04,1191.25,1058.69287109375,989.769226358743,987.2338472961357,991.3299535558078,1058.69287109375,XGBoost,0.4,True,5
2025-08-05,1188.75,1043.1448974609375,991.8615390917581,988.1245724669628,988.978712492771,1043.1448974609375,XGBoost,0.1428571428571428,True,5
2025-08-06,1186.25,1042.2979736328125,993.255876421364,986.374325576502,989.2307039285395,1042.2979736328125,XGBoost,0.0,True,5
2025-08-07,1101.25,1047.94580078125,989.4136184357578,990.9284656080183,989.9042407851107,1047.94580078125,XGBoost,0.7142857142857143,True,5
2025-08-11,1088.75,1050.2059326171875,994.29975006552,991.5596765779123,990.2975676504329,1050.2059326171875,XGBoost,0.0,True,5
2025-08-12,1076.25,1035.79345703125,993.9492866680124,988.0316167459712,988.7995900637202,1035.79345703125,XGBoost,0.1428571428571428,True,5
2025-08-13,1070.0,1050.6241455078125,995.3447207806431,991.699673789304,990.6447771444194,1050.6241455078125,XGBoost,0.0,True,5
2025-08-14,1076.25,1095.0927734375,994.8493377593832,999.8952597079217,997.5605168876937,1095.0927734375,XGBoost,0.1666666666666667,True,5
2025-08-15,1056.25,1138.5421142578125,992.724981213218,1000.5951293570922,997.9414290038642,1138.5421142578125,XGBoost,0.6,True,5
2025-08-18,1041.25,1155.3048095703125,995.1686132855341,1004.4396204393094,999.3317389295889,1155.3048095703125,XGBoost,0.2857142857142857,True,5
2025-08-19,1045.0,1198.5115966796875,995.6050537836726,1003.984149002221,999.5877161574228,1198.5115966796875,XGBoost,0.3,True,5
2025-08-20,1070.0,1206.3355712890625,996.9436746826484,1004.1428418694711,999.4595906670395,1206.3355712890625,XGBoost,0.1666666666666667,True,5
2025-08-21,1050.0,1195.37841796875,998.4862268876686,1001.80384631566,995.9144234777042,1195.37841796875,XGBoost,0.0,True,5
2025-08-22,1047.5,1179.2064208984375,997.4833541634773,994.0350424023472,992.1020627333784,1179.2064208984375,XGBoost,0.25,True,5
2025-08-25,1055.0,1192.162109375,999.5355974285771,1006.3726035385853,995.6419708563653,1192.162109375,XGBoost,0.0,True,5
2025-08-26,1056.25,1196.18408203125,998.8387600257853,1005.7220958149591,995.6990160086551,1196.18408203125,XGBoost,0.2,True,5
