date,actual_price,xgboost_predicted,sarimax_predicted,lightgbm_predicted,hybrid_predicted,best_model_predicted,best_model,sentiment,was_split
2025-02-21,8.1,7.78027868270874,8.46489451287444,7.770070928875506,7.775921446858204,7.78027868270874,XGBoost,-0.3333333333333333,False
2025-02-24,7.9,7.639278888702393,8.516700001287717,7.64829998788073,7.619610763249186,7.639278888702393,XGBoost,0.75,False
2025-02-25,7.8,7.531830787658691,8.486812219510826,7.481022485364953,7.496473583453714,7.531830787658691,XGBoost,0.125,False
2025-02-27,7.9,7.727025985717773,8.480834663155449,7.781836147426341,7.7081411896441665,7.727025985717773,XGBoost,0.0,False
2025-02-28,8.0,7.685971260070801,8.471270572986844,7.709101522748853,7.647443023881718,7.685971260070801,XGBoost,-0.2,False
2025-03-03,7.7,7.522044658660889,8.488804738295952,7.402956102341391,7.4343432869825925,7.522044658660889,XGBoost,0.1666666666666667,False
2025-03-04,7.5,7.333049774169922,8.480834663155449,7.115720886885502,7.1677858420508915,7.333049774169922,XGBoost,0.0,False
2025-03-05,7.9,7.35680627822876,8.480834663155449,7.377625039818504,7.319858247702321,7.35680627822876,XGBoost,0.0,False
2025-03-06,7.7,7.648177623748779,8.492789775866205,7.729066453640472,7.623419449611972,7.648177623748779,XGBoost,0.25,False
2025-03-07,7.8,7.726529598236084,8.498767332221583,7.673972257105897,7.703944058083384,7.726529598236084,XGBoost,0.375,False
2025-03-10,7.8,7.8633646965026855,8.50474488857696,7.836826200848576,7.890751522262727,7.8633646965026855,XGBoost,0.5,False
2025-03-11,7.6,7.8210883140563965,8.471270572986844,7.8172377505919295,7.878500838860263,7.8210883140563965,XGBoost,-0.2,False
2025-03-12,7.5,7.896439075469971,8.480834663155449,8.030873270051487,8.022514063821404,7.896439075469971,XGBoost,0.0,False
2025-03-14,7.8,8.248680114746094,8.490398753324053,8.424427374938867,8.312869576186399,8.248680114746094,XGBoost,0.2,False
2025-03-17,7.7,8.571430206298828,8.46489451287444,8.420284284114512,8.373502905876002,8.571430206298828,XGBoost,-0.3333333333333333,False
2025-03-18,7.4,8.601298332214355,8.494497649110599,8.408448929608396,8.359246422747868,8.601298332214355,XGBoost,0.2857142857142857,False
2025-03-19,7.0,9.032094955444336,8.492789775866205,8.661564908042871,8.50138324449357,9.032094955444336,XGBoost,0.25,False
2025-03-20,7.4,9.410409927368164,8.480834663155449,8.679614531225251,8.510691999473819,9.410409927368164,XGBoost,0.0,False
2025-03-21,7.8,9.57065200805664,8.480834663155449,8.644483029126757,8.49328583890886,9.57065200805664,XGBoost,0.0,False
2025-03-24,7.8,9.54499626159668,8.480834663155449,8.531964093088693,8.447236332886282,9.54499626159668,XGBoost,0.0,False
2025-03-25,8.0,9.3572359085083,8.480834663155449,8.462527330006239,8.345930434627002,9.3572359085083,XGBoost,0.0,False
2025-03-26,7.9,9.584431648254395,8.480834663155449,8.496592426303492,8.405745339729666,9.584431648254395,XGBoost,0.0,False
2025-03-27,8.0,9.55949878692627,8.480834663155449,8.482538153845365,8.384719411657018,9.55949878692627,XGBoost,0.0,False
2025-03-28,8.5,9.774717330932617,8.480834663155449,8.485968077555334,8.418173086216465,9.774717330932617,XGBoost,0.0,False
2025-04-01,8.6,9.446118354797363,8.480834663155449,8.436372570534965,8.298961466078547,9.446118354797363,XGBoost,0.0,False
2025-04-02,8.6,9.4170560836792,8.480834663155449,8.421546862338477,8.269723232673954,9.4170560836792,XGBoost,0.0,False
2025-04-03,9.3,9.139183044433594,8.480834663155449,8.185652817194628,8.151772499571724,9.139183044433594,XGBoost,0.0,False
2025-04-04,9.5,9.18565559387207,8.467171677200298,8.356353048272695,8.257128310966886,9.18565559387207,XGBoost,-0.2857142857142857,False
2025-04-07,9.7,9.300702095031738,8.468879550444692,8.41147728846061,8.299201266249478,9.300702095031738,XGBoost,-0.25,False
2025-04-08,9.6,9.428011894226074,8.492789775866205,8.443912821829505,8.366146689919377,9.428011894226074,XGBoost,0.25,False
2025-04-09,9.4,9.191149711608887,8.485616708239752,8.256815203210753,8.181881771392751,9.191149711608887,XGBoost,0.1,False
2025-04-10,9.7,9.342412948608398,8.474857106800071,8.38996358757153,8.283173165272439,9.342412948608398,XGBoost,-0.125,False
2025-04-11,9.7,9.192085266113281,8.507401580290463,8.238439242017098,8.161571648355372,9.192085266113281,XGBoost,0.5555555555555556,False
2025-04-16,9.8,9.234013557434082,8.492789775866205,8.253454593071302,8.182915926198433,9.234013557434082,XGBoost,0.25,False
2025-04-17,9.5,9.175873756408691,8.496774813436456,8.245123716462762,8.194342060998753,9.175873756408691,XGBoost,0.3333333333333333,False
2025-04-21,9.4,9.237482070922852,8.492789775866205,8.310732966614166,8.281481016225442,9.237482070922852,XGBoost,0.25,False
2025-04-22,9.1,9.23415470123291,8.508160635065748,8.28162239780699,8.220454241117455,9.23415470123291,XGBoost,0.5714285714285714,False
2025-04-23,9.3,9.575709342956543,8.499962843492659,8.391773803202538,8.332451822012056,9.575709342956543,XGBoost,0.4,False
2025-04-24,9.4,9.523294448852539,8.492789775866205,8.304715963238984,8.256835778371741,9.523294448852539,XGBoost,0.25,False
2025-04-25,9.5,10.286980628967285,8.499962843492659,8.662233375161039,8.500676992786104,10.286980628967285,XGBoost,0.4,False
2025-04-28,9.2,10.728143692016602,8.480834663155449,8.694711073168607,8.5047054539513,10.728143692016602,XGBoost,0.0,False
2025-04-29,9.4,10.626827239990234,8.480834663155449,8.398701198739586,8.335145386818036,10.626827239990234,XGBoost,0.0,False
2025-04-30,9.1,10.578033447265625,8.486812219510826,8.3797610231329,8.29849378833092,10.578033447265625,XGBoost,0.125,False
2025-05-02,9.2,10.306108474731445,8.492789775866205,8.380210859295973,8.300004922568021,10.306108474731445,XGBoost,0.25,False
2025-05-05,9.2,10.162930488586426,8.480834663155449,8.36897721060522,8.278696543113334,10.162930488586426,XGBoost,0.0,False
2025-05-06,9.4,10.48886775970459,8.480834663155449,8.449373624695607,8.399794691689674,10.48886775970459,XGBoost,0.0,False
