Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/19/25,39.1,46.4,39.1,40.2,13,1318,56376.5
3/18/25,42,42,40,40.2,18,2557,102882.3
3/17/25,41.7,43,41.7,42.1,2,52,2171
3/14/25,41,46.8,41,42.1,7,103,4339.9
3/12/25,43.3,43.9,41.1,43,4,397,17052.3
3/11/25,43.4,43.4,41,41.9,14,620,26332
3/10/25,43.1,43.1,43.1,43.5,1,1,43.1
3/7/25,43.5,43.5,43.5,43.5,4,395,17182.5
3/6/25,44.4,44.4,43.1,43.5,9,1330,57938.7
3/5/25,44,44.5,44,44,13,1356,59684
3/4/25,44.5,44.5,44,44,8,156,6875
3/3/25,44,44,44,44.6,1,45,1980
2/28/25,45.2,45.2,44.6,44.6,12,2939,131581.4
2/27/25,45.2,45.2,45.2,45.2,2,91,4113.2
2/25/25,47,47,42.6,45.2,14,1124,50834.1
2/24/25,47,47,47,45.7,1,2,94
2/21/25,45.7,47.3,45.6,45.7,11,5138,234610.5
2/20/25,48,48,45.8,45.9,18,8189,375929
2/19/25,47.1,49,46,46.1,14,1510,69717.7
2/18/25,49,49,47,47.2,21,5789,273245.3
2/17/25,49.7,49.7,49.5,49.5,7,551,27289.8
2/14/25,48.1,49.6,48,49.5,30,13098,633253.5
2/13/25,45.5,49.6,45.5,49.3,12,5232,245350.7
2/11/25,49.9,49.9,45.3,46.8,71,30757,1433808.2
2/10/25,50.9,52.6,48,49.9,19,1315,64542
2/7/25,52.7,52.7,46.7,48.6,10,1168,56690.5
2/6/25,46.7,51.8,46.7,47,29,6885,331441.5
2/5/25,52.7,52.7,47.2,48,40,32347,1559677.8
2/3/25,53,53,51,51.4,24,12866,663881.7
1/31/25,57,57,52,52.6,20,11665,636853.7
1/30/25,53.5,56.7,50.3,54.3,115,45389,2457057.6
1/29/25,51.9,53.8,51.9,52.2,64,46671,2473263.5
1/28/25,50.9,52,49.7,50.4,18,9073,452447.7
1/27/25,51.9,51.9,49.3,49.4,21,12855,638841.9
1/24/25,52,52,50.6,50.6,15,1752,89874.2
1/23/25,52.8,52.8,50.1,50.6,16,527,26626.2
1/22/25,52.6,53,49,52.8,33,5771,288477.6
1/21/25,53.9,54.4,48.5,52.6,65,18029,942238.6
1/20/25,51.8,54.5,51.5,53.2,101,86827,4635545.7
1/17/25,50.4,51.9,50.1,51.9,105,92442,4760096.1
1/16/25,47.8,54,45.1,49.5,110,117024,5734461.3
1/15/25,46,46.5,45.7,45.7,6,1115,50990.5
1/10/25,44.2,46,44.2,46,5,4050,185210
1/9/25,45.3,45.3,45,45,12,25470,1146210.8
1/8/25,46.9,47.8,45.3,45.3,10,2174,99776.2
1/7/25,45.3,46.9,44.4,46.1,6,976,45011.9
1/6/25,46,47.5,44,44.4,39,24061,1086743.5
1/3/25,47,47.1,46.1,46.3,22,12870,596741.2
1/2/25,46.5,48,46.1,47,28,52750,2489096
12/31/24,48.5,48.6,46.1,46.7,15,3331,157584.8
12/30/24,47.5,49.3,45.7,45.7,20,7510,354955.5
12/27/24,48,48,47.2,47.2,11,3632,173904.4
12/26/24,48.1,48.5,47.8,48,12,4707,225996
12/24/24,49.5,49.5,47.5,48.5,13,3029,146451
12/23/24,49.5,49.5,49.1,49.5,7,2526,125029.3
12/20/24,47.2,49.5,47.2,49.3,30,20542,1011002.8
12/19/24,48.5,49,47.7,48.4,11,5864,284047.3
12/18/24,47.5,49,46.6,48.7,27,18936,919777
12/17/24,48.2,48.5,46,48.4,45,26137,1221787.8
12/16/24,48.5,48.5,46.8,48.2,21,7156,339846.8
12/13/24,48,48.5,48,48.4,5,1009,48536.5
