Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/11/25,43.8,44.3,43,44,127,1219931,52574614.2
6/9/25,44,44.6,43.5,43.9,178,1462808,64128046
6/6/25,42,44,41.5,43.9,405,5294972,228688729.4
6/5/25,42,42.5,41,41.3,336,565373,23574218.4
6/4/25,42.5,42.8,41.8,41.9,258,457138,19327665.8
6/3/25,42.8,42.9,42.1,42.5,143,225821,9556820.6
6/2/25,43,43.4,42.1,42.9,143,255183,10852466.3
5/30/25,43.8,43.9,42.8,42.9,182,197241,8540217.3
5/29/25,43.8,46,43.3,44,508,2032579,90697421.1
5/28/25,42.5,43,42.2,42.9,88,289456,12358599.1
5/27/25,41.9,42.7,41.9,42,85,102336,4321525.7
5/26/25,41,42.8,41,41.8,91,519461,21970124.2
5/23/25,42,42,41,41,121,105833,4364698.3
5/22/25,42,42.4,41,41.4,94,43063,1795327.8
5/21/25,43,43,40.9,41.7,197,272550,11227480.2
5/20/25,43.1,43.1,42,42.2,116,104519,4436679.7
5/19/25,43.2,43.5,42.9,43.1,115,179285,7714245.8
5/16/25,43,43.7,42.9,43,69,54439,2346000.8
5/15/25,43.7,43.7,42.6,43,95,157642,6791392.1
5/14/25,43,43.8,42,42.9,170,302982,13011499.2
5/9/25,42,42.7,41.5,41.5,128,114346,4762406
5/8/25,42.4,43,42,42,129,362731,15331281.7
5/7/25,42.6,42.9,42.2,42.3,90,222937,9474290.7
5/6/25,42.8,43,42.5,42.6,37,51760,2206117.1
5/5/25,43.1,43.1,42,42.6,123,134072,5691607.2
5/2/25,42.5,43,42.1,42.9,62,39140,1675394.4
4/30/25,43,43,42,42.2,96,85062,3600132.4
4/29/25,43,43,42.1,42.8,107,361078,15461507.4
4/28/25,42.5,43.2,42.1,42.7,136,557191,23859041.1
4/25/25,41.5,42.9,40.9,42.4,156,385762,16103801.3
4/24/25,41.5,42,41.2,41.5,96,224047,9296096.3
4/23/25,41.5,41.5,40.6,41,116,226391,9281054.4
4/22/25,41.2,41.6,41.2,41.3,56,81794,3379272.7
4/21/25,42,42.5,41.1,41.2,115,242869,10083050.1
4/17/25,42.2,42.2,41.1,41.8,90,58464,2422516.2
4/16/25,42.5,42.6,41.1,41.4,139,116419,4900229.7
4/11/25,43,43,41,41.8,161,1759909,73016932.6
4/10/25,43,46.2,42.5,42.8,663,3277472,143027410.8
4/9/25,39,39,36.8,37,298,613218,22791963.6
4/8/25,38.8,41,38.1,38.6,364,536456,20849993.1
4/7/25,40.9,40.9,38.5,39,368,520635,20586580.5
4/4/25,41,41.8,40.6,41,362,843335,34499633.6
4/3/25,45,45,40,41,1307,2985377,124392500.5
4/2/25,47.5,48,47.4,48,103,322820,15484243.7
4/1/25,46.3,48,46.3,47.2,47,56090,2654789.2
3/28/25,47,47,45,45,243,446843,20143494.3
3/27/25,47,48,46.5,46.5,39,35675,1659662.9
3/26/25,47.9,47.9,46.5,47,46,36478,1715188.1
3/25/25,48,48.8,47,47,60,267539,12584703.8
3/24/25,48,48.5,48,48,72,190804,9244653.8
3/21/25,46.7,48,46.7,48,45,29776,1405654.5
3/20/25,46,48.1,46,47,35,211298,9931179.1
3/19/25,46.8,46.8,45.5,45.9,87,32013,1482551.1
3/18/25,47.3,48.4,46.8,47,61,60162,2829072.6
3/17/25,48.4,48.4,47.3,47.3,123,306087,14542093.5
3/14/25,48.9,48.9,48.4,48.4,61,97606,4733923.6
3/12/25,48.9,49,48.5,48.6,48,82635,4016578.9
