Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
4/17/25,47.8,48,46.9,47,7,62,2967.8
4/16/25,48,48,47,47,9,1244,58715
4/11/25,48.8,48.8,46.6,48,9,1401,67944
4/10/25,48.2,49.5,46.1,46.5,30,12062,579741.1
4/9/25,46,46,46,46,2,508,23368
4/8/25,45.8,47,45.8,46,19,4248,195410.8
4/7/25,46,47.5,45,46,45,12993,589131.6
4/4/25,46.5,47.4,46,46.1,26,5345,246544.7
4/3/25,47,47.6,45.9,46.5,51,11198,518087.1
4/2/25,49,49,46.2,48.5,15,3161,153263.8
4/1/25,48.3,48.3,46.1,47.2,10,4303,202283.4
3/28/25,46.4,48,46,46.1,43,22047,1018138.1
3/27/25,47,48.3,46.2,46.4,31,7100,331144.9
3/26/25,48.3,48.3,47.5,48.1,6,119,5722.5
3/25/25,48.9,48.9,47.4,48.3,14,2561,122742.1
3/24/25,48.6,49.2,47.2,47.4,16,3137,149988.4
3/21/25,48.5,48.6,47.3,48,13,2341,112093.6
3/20/25,48.8,48.8,47.5,47.5,13,6852,326017
3/19/25,48.2,48.5,46.5,47,12,4225,200591
3/18/25,47,47.7,46.2,46.9,13,19819,928151
3/17/25,47.5,47.5,45.8,46,38,27865,1277980.1
3/14/25,50.8,50.8,45,46,184,227633,10527503
3/12/25,50.9,50.9,50,50,9,389,19601.5
3/11/25,49,49.9,48,49,10,1951,95602.5
3/10/25,50.1,51.5,47,48.9,48,20656,1014108.9
3/7/25,49.9,49.9,49.5,49.5,28,7063,349911.9
3/6/25,52,52,49.9,49.9,15,5203,263329.2
3/5/25,50,52,50,50.7,26,11918,616710.5
3/4/25,50.2,50.5,49.9,49.9,37,3452,172869.4
3/3/25,52,52,50.2,50.5,40,16193,823576.8
2/28/25,52.4,52.4,51.2,51.3,8,503,25807.2
2/27/25,52,52.4,51.4,51.5,7,645,33292
2/25/25,51.7,53,51,51.1,36,4326,221190.8
2/24/25,52,52.7,51.7,51.8,15,4149,215012.9
2/21/25,52,52.9,52,52,7,1716,89235.6
2/20/25,53,53,52,52,14,12045,636865.4
2/19/25,53,53,52,52,20,41258,2147587.6
2/18/25,53,53,52,52.9,9,1211,63609.8
2/17/25,53,53,52,52.2,23,7724,404361
2/14/25,53.1,53.1,52,52,51,44990,2366589
2/13/25,52.5,53.9,52.1,53.5,20,1927,101340.5
2/11/25,54,54,53,53,19,7802,416646
