Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/29/25,11,11.3,10.8,11.2,179,709348,7835608.8
5/28/25,10.1,11.2,10.1,11.1,392,2502564,27033389.9
5/27/25,10.1,10.3,10,10.1,96,131569,1325164.7
5/26/25,10.1,10.4,10,10.3,103,180516,1845985.1
5/23/25,10.5,10.8,9.9,10,368,1296669,13070196.2
5/22/25,10.3,10.8,10.2,10.7,158,786470,8308327.6
5/21/25,10.6,10.6,10.2,10.3,91,284938,2929504.3
5/20/25,10.4,10.9,10.3,10.4,106,601058,6316393.2
5/19/25,10.4,10.8,10.2,10.4,247,628504,6590713.9
5/16/25,11.1,11.4,10.3,10.5,636,3403298,36540259.3
5/15/25,11.4,11.7,11.1,11.3,400,2138018,24331292.8
5/14/25,9.8,11.3,9.8,11,634,4587592,48853101.6
5/9/25,9.7,9.7,9.4,9.5,38,107687,1031619.3
5/8/25,9.3,9.8,9.3,9.6,152,1232473,11911245.7
5/7/25,9.4,9.4,9.3,9.3,23,146286,1372991.1
5/6/25,9.3,9.4,9.2,9.4,66,453064,4249399.9
5/5/25,9.4,9.5,9.2,9.2,55,185336,1735702
5/2/25,9.3,9.4,9.2,9.2,37,162957,1510885.5
4/30/25,9.5,9.5,9.1,9.1,76,314766,2891471.9
4/29/25,9.2,9.5,9.1,9.4,59,430314,3968970.8
4/28/25,9.4,9.4,9.1,9.2,81,429420,3983995.9
4/25/25,9.4,9.6,9.3,9.5,31,103725,979565.6
4/24/25,9.3,9.7,9.1,9.4,69,649307,6078050.1
4/23/25,9.4,9.4,9.1,9.3,52,292927,2681845.7
4/22/25,9.4,9.5,9,9.1,179,674245,6171340.4
4/21/25,9.8,9.8,9.4,9.4,72,328418,3129000.1
4/17/25,9.9,10,9.5,9.5,98,457543,4413816.4
4/16/25,9.8,10,9.7,9.8,115,507217,4997969.1
4/11/25,9.7,9.8,9.6,9.7,56,672492,6544723.1
4/10/25,9.5,9.9,9.5,9.7,147,1360812,13214302
4/9/25,9.5,9.5,9,9.4,141,579931,5320570.4
4/8/25,9.7,10,9.5,9.6,126,960837,9338652.6
4/7/25,9,9.8,8.6,9.7,262,4930170,46978550.2
4/4/25,9.3,9.6,8.9,9.5,284,3107547,28765458.8
4/3/25,8.5,9.4,8.3,9.3,362,5426679,48514436.3
4/2/25,8.6,8.7,8.5,8.6,157,2325432,19878038.1
4/1/25,8.5,8.6,8.4,8.6,94,1363086,11650674.9
3/28/25,8,8.6,8,8.5,204,3001310,25406107.4
3/27/25,7.9,8,7.9,8,30,115688,925371.8
3/26/25,8.4,8.4,7.9,7.9,44,219950,1792467.3
3/25/25,8,8.4,7.9,8,89,755116,6216364.6
3/24/25,7.5,8.5,7.5,7.8,66,314383,2574528.9
3/21/25,7.5,7.9,7.5,7.8,66,376377,2933675.5
3/20/25,7.5,7.5,7.4,7.4,3,30220,226630
3/19/25,7.5,7.5,7,7,56,371283,2647116.7
3/18/25,7.7,7.7,7.4,7.4,25,129843,965076.7
3/17/25,7.8,7.8,7.7,7.7,9,20765,159891.3
3/14/25,7.8,7.8,7.8,7.8,8,204,1591.2
3/12/25,7.6,7.7,7.5,7.5,19,60250,452517.6
3/11/25,7.8,7.8,7.6,7.6,19,61315,468802.5
3/10/25,7.8,7.8,7.7,7.8,8,26656,207716.8
3/7/25,7.8,7.9,7.8,7.8,10,80850,631165
3/6/25,7.6,7.9,7.6,7.7,10,7209,56631
3/5/25,7.5,8,7.4,7.9,20,26002,201111.6
3/4/25,7.8,7.8,7.5,7.5,38,47076,357640.9
3/3/25,7.9,7.9,7.7,7.7,22,111343,861442.8
2/28/25,7.9,8,7.9,8,4,211,1687
2/27/25,7.9,8,7.9,7.9,13,64328,509511.3
2/25/25,8,8,7.8,7.8,24,140204,1098429.4
2/24/25,8.1,8.1,7.9,7.9,29,260477,2074124.5
2/21/25,8.3,8.4,8.1,8.1,15,49123,400006.3
2/20/25,8.5,8.5,8,8,27,321769,2584839.4
2/19/25,8.3,8.5,8.1,8.4,42,255448,2113296.9
2/18/25,8.6,8.6,8.3,8.3,24,361144,3030289.9
2/17/25,8.8,8.8,8.5,8.6,53,147199,1257114.3
2/14/25,8.1,8.8,8.1,8.7,59,323096,2761623.4
2/13/25,8.3,8.5,8.1,8.2,19,23449,191742.4
2/11/25,8.5,8.5,8.1,8.1,42,204309,1681997
2/10/25,8.5,8.5,8.3,8.5,45,229777,1926601.1
2/7/25,8.3,8.6,8.2,8.5,36,197062,1660308.9
2/6/25,8.1,8.3,8,8.2,32,132360,1080471.4
2/5/25,8.5,8.6,7.9,8,91,252320,2046713.3
