Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/10/24,9.2,9.2,9.2,9.2,2,201,1849.2
9/5/24,9.6,9.6,8.9,9.5,4,19,181.7
9/4/24,9.4,9.5,9.4,9.5,6,1130,10685
9/3/24,9.1,9.2,8.6,9.2,16,17298,151675.1
8/30/24,8.8,9.7,8.8,9.2,3,156490,1377842
8/29/24,8.9,8.9,8.7,8.7,16,62210,551826.4
8/28/24,9.1,9.1,8.8,9,6,6100,54690.1
8/27/24,11.5,11.5,8.8,9.3,23,17500,178273.4
7/29/24,10.6,11.1,10.6,10.9,88,251599,2708450.4
7/26/24,10.7,10.7,10.6,10.6,2,350,3720
7/25/24,10.7,10.7,10.5,10.6,12,7488,79669
7/24/24,10.5,10.6,10.5,10.6,20,198111,2097175.5
7/23/24,10.5,10.6,10.3,10.4,11,122300,1294592
7/22/24,10.6,10.6,10.2,10.4,11,3194,33414
7/19/24,10.3,10.5,10,10.5,16,63207,635846.3
7/17/24,10.6,10.7,10.3,10.5,17,23174,243112.6
7/16/24,10.4,10.4,10.4,10.6,4,20,208
7/15/24,10.6,10.8,10.6,10.6,15,14902,158978.2
7/12/24,10.2,10.6,10.2,10.5,15,30000,312385.4
7/11/24,10.4,10.4,10.1,10.3,4,1015,10453
7/10/24,10.2,10.6,10.2,10.5,23,38974,411187.5
7/9/24,10.1,10.4,10.1,10.2,7,9520,96655.3
7/8/24,9.9,10.7,9.9,10.1,70,274552,2811539.2
7/4/24,10,10,10,10,7,36500,365000
7/3/24,10,10.3,10,10,11,208,2081.2
7/2/24,10,10.3,10,10.3,3,570,5730
6/28/24,10.4,10.6,10.4,10.4,20,68091,712075.1
6/27/24,10,10,9.6,10,19,120159,1170379.9
6/26/24,10.4,10.4,10,10,28,160619,1606581.7
6/25/24,10.5,10.6,10.5,10.5,5,1053,11061.5
6/24/24,10.5,10.6,10.5,10.5,19,36922,387826.1
6/20/24,10.5,10.7,10.5,10.5,19,44303,465381.9
6/19/24,10.7,10.7,10.5,10.6,9,20274,213951.8
6/18/24,10.5,10.8,10.4,10.5,22,44917,471217
6/14/24,10.6,10.9,10.5,10.6,14,5887,61953.9
6/13/24,10.8,10.9,10.7,10.7,17,27478,294340.2
6/12/24,10.8,11,10.8,10.9,18,21870,236520
6/11/24,10.8,11,10.7,10.9,49,64809,703633.6
6/11/24,10.8,11,10.7,10.9,49,64809,703633.6
6/10/24,11.1,11.2,10.8,11,68,240874,2654692.9
6/7/24,10.3,11.2,10.3,11,146,773860,8429016.8
6/6/24,10.5,10.8,10.3,10.8,40,46092,489801.8
6/5/24,10.4,10.6,10,10.5,41,170297,1782216.8
6/4/24,9.4,10.8,9.4,10.3,112,1456957,15276521.7
6/3/24,9.9,9.9,9.4,9.5,17,27801,264644.6
5/31/24,9.6,9.9,9.6,9.9,11,268666,2580249.6
5/30/24,9.6,10,9.6,9.9,9,10412,101839.6
5/29/24,9.6,10,9.6,9.8,6,4282,41966.1
5/28/24,9.9,10,9.6,9.9,13,13195,130684
5/27/24,9.5,10,9.5,9.5,7,6050,57500
5/22/24,9.8,10.1,9.6,10,12,6285,62443.2
