Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/11/24,15.7,15.7,15.6,15.6,6,2909,45451
7/10/24,15.6,15.6,15.6,15.6,5,1727,26941.2
7/9/24,15.9,16.2,15.6,15.6,35,52361,826700.6
7/8/24,15.5,16,15.5,15.6,7,4957,76975
7/5/24,16.2,16.2,15.3,15.9,22,26222,419530.8
7/4/24,16.4,16.4,16.2,16.2,4,402,6519.4
7/3/24,16.4,16.4,16.2,16.2,12,17680,287351.8
7/2/24,16.1,16.6,16.1,16.2,16,76496,1244528
7/1/24,16.1,16.1,16,16.1,16,59097,946410.2
6/28/24,16.3,16.3,16.2,16.2,18,3374,54659
6/27/24,16.6,16.6,16.4,16.4,8,3444,56526.1
6/26/24,17,17,16.6,16.8,5,1138,19104.2
6/25/24,16.8,17,16.8,16.8,14,35273,592641
6/24/24,16.8,17,16.8,16.8,3,3510,58972
6/20/24,16.8,17,16.6,16.8,15,122742,2062063.8
6/19/24,16.9,17,16.8,16.8,14,49301,828456.9
6/18/24,17.2,17.2,16.8,17,23,110382,1876231.3
6/14/24,17.2,17.2,16.8,17.1,12,49125,838509.4
6/13/24,16.9,16.9,16.8,16.8,11,4743,79687.7
6/12/24,17.3,17.3,16.8,16.8,7,1561,26249.8
6/11/24,17.6,17.8,16.8,16.8,22,83780,1480909.1
6/11/24,17.6,17.8,16.8,16.8,22,83780,1480909.1
6/10/24,17.4,17.4,16.9,16.9,28,30157,514008.9
6/7/24,17.3,17.6,16.9,17,16,24957,426353.2
6/6/24,17.1,17.8,17.1,17.6,30,17635,306292.5
6/5/24,16.7,17.3,16.6,17,17,9820,165309.4
6/4/24,16.7,16.9,16.7,16.7,16,17329,289405.5
6/3/24,16.9,17,16.7,16.7,5,1400,23472.6
5/31/24,16.9,17,16.9,16.9,3,367,6202.5
5/30/24,16.5,16.7,16.5,16.5,13,14183,236004.3
5/29/24,16.6,16.7,16.5,16.5,14,8605,141984.3
5/28/24,16.7,16.7,16.6,16.7,13,1914,31909.5
5/27/24,17.5,17.5,17.5,17.5,2,1000,17500
5/22/24,17.5,18,17.5,17.9,59,116836,2082046.6
5/21/24,17.7,17.7,16.7,16.9,14,2812,47621.2
5/20/24,16.5,17,16.5,17,12,33357,566969
5/17/24,17,17.6,16.5,17.4,32,79920,1375145.3
5/16/24,17.1,17.1,16.5,16.5,17,39344,651491
5/15/24,17.8,17.8,17,17,48,129116,2195922.6
5/14/24,17.7,17.9,17.4,17.5,27,31728,557115.3
5/13/24,18,18,17.5,17.7,34,74656,1323588.4
5/10/24,18.1,18.3,17.9,18,31,31911,575155.4
5/9/24,18.4,18.4,17.9,18.2,31,26914,487966.6
5/8/24,18,18.6,17.6,18.4,188,577984,10507624.6
5/7/24,18.5,18.5,18.1,18.1,19,24970,454615
5/6/24,19,19,18.5,18.7,46,82648,1547637.2
5/3/24,18.8,19.3,18.1,19,160,458157,8663092.8
5/2/24,18,19.5,18,18.6,86,320052,6028393.8
4/30/24,18,19.2,17.5,19,302,1822927,33927490.2
4/29/24,17.6,18.4,17.5,18,175,892416,16030037.9
4/26/24,17.1,17.8,17,17.6,166,615102,10769183.2
4/25/24,15.5,17.7,15.5,17.1,335,1513358,25495255.1
4/24/24,15.4,15.5,15,15.3,83,289237,4429733.3
4/22/24,15,15.4,14.9,15,64,160765,2433185.5
4/19/24,14.5,15.3,14.5,15,67,227611,3390216.1
4/18/24,14.1,14.7,14.1,14.5,27,60245,873441.1
4/17/24,14,14.7,13.1,14,26,41658,582251.4
4/16/24,14.4,14.4,14.1,14.1,20,24623,348055.9
4/15/24,14.3,14.6,14.3,14.3,15,14071,201455.6
4/10/24,15,15,14.7,14.9,10,11906,176844.5
4/9/24,14.8,15.1,14.2,14.9,107,386194,5764049.6
4/8/24,14.2,14.9,14.2,14.7,154,513377,7568262.1
4/5/24,13.3,14,13.3,13.9,96,114355,1563740.8
4/4/24,13.2,13.4,13,13,40,95857,1250780.6
4/3/24,13,13.2,13,13.1,10,1652,21596
4/2/24,12.5,13.2,12.5,13.2,59,117790,1517908.9
4/1/24,12.3,12.7,12.3,12.5,17,14550,180915
3/28/24,12.5,12.5,12.3,12.3,7,820,10097
3/27/24,12.3,12.8,12.2,12.5,15,15442,191731.2
3/26/24,12,12.2,12,12.2,16,45554,550288.8
3/25/24,12.2,12.2,12,12,7,1013,12158.3
3/22/24,12,12,12,12,8,10116,121392
3/21/24,12.1,12.3,12,12,6,1503,18089
3/20/24,12.3,12.3,12.1,12.3,2,407,5005.9
3/19/24,12.4,12.4,12,12,11,34968,419724
3/18/24,12.4,12.4,12,12.3,28,83467,1026723.7
3/15/24,11.9,12.4,11.8,12.4,84,59189,719821.8
3/14/24,12,12,11.5,11.6,8,2200,25678.1
3/13/24,12,12,11.9,11.9,11,2540,30237
3/12/24,11.9,11.9,11.5,11.9,13,16104,191197.6
3/11/24,12,12,11.5,11.6,15,3714,43485.4
3/7/24,12,12,11.5,12,19,30800,369379.5
3/6/24,11.6,11.6,11.5,11.6,17,24715,284611.6
3/5/24,12,12,11.5,11.6,20,21234,246315
3/4/24,12,12,11.3,12,15,8410,96707
3/1/24,11.3,11.3,11.3,11.3,1,800,9040
2/29/24,11.9,11.9,11.1,11.3,5,715,8137.5
2/28/24,11.2,11.4,11,11.1,54,130554,1451577.2
2/27/24,11.2,11.3,11.2,11.3,3,5400,60920
2/26/24,11.4,11.4,11.3,11.3,3,2500,28251
2/22/24,11.3,11.3,11.3,11.3,4,1000,11300
2/21/24,11.5,11.5,11.3,11.3,10,4210,47745
2/20/24,11.4,11.5,11.4,11.5,9,4210,48405
2/19/24,11.6,11.7,11.5,11.5,10,8492,97949.3
2/16/24,11.7,11.7,11.7,11.7,2,35,409.5
2/15/24,11.7,11.7,11.7,11.7,3,8300,97110
2/14/24,11.5,11.5,11.5,11.4,1,9,103.5
2/13/24,11.4,11.4,11.4,11.4,1,100000,1140000
2/12/24,11.3,11.4,11.3,11.3,19,13716,155001.8
2/9/24,11.3,11.3,11.3,11.4,1,54,610.2
2/8/24,11.4,11.4,11.4,11.4,4,1500,17100
2/7/24,11.5,11.7,11.3,11.3,11,15180,173810
2/6/24,11.5,11.6,11.5,11.5,5,10025,115290
2/2/24,11.2,11.6,11.2,11.6,5,54800,613800
2/1/24,11.4,11.4,11.4,11.4,15,10849,123678.6
1/31/24,11.5,11.5,11.4,11.4,8,10164,116849.6
1/30/24,11.5,11.5,11.5,11.5,2,200,2300
1/29/24,11.9,11.9,11.5,11.6,8,13887,161255.3
1/26/24,11.7,12,11.5,11.8,9,8667,103127.3
1/24/24,11.2,11.6,11,11.6,13,10495,115974
1/23/24,11.7,12.1,11,11.2,34,56780,635974.4
1/22/24,11.4,12.7,11.4,11.7,13,15612,186992.8
1/19/24,12.1,12.9,12.1,12.1,4,2422,29378.2
1/18/24,12.4,12.4,12,12,3,18010,216122
1/16/24,12.4,12.4,12.4,12.4,2,1000,12400
1/12/24,11.4,11.9,11.4,11.4,6,19470,221963.5
1/11/24,11.8,12.4,11.4,11.6,8,4363,51372.3
1/9/24,11.6,11.6,11.6,11.6,9,993,11518.8
1/8/24,11.6,11.6,11.4,11.4,8,4528,52455.4
1/5/24,11.7,11.7,11.3,11.3,18,4705,53456.8
1/3/24,12.1,12.1,11.7,12.1,6,886,10712.4
1/2/24,11.7,11.7,11.7,11.7,1,100,1170
12/29/23,11.3,11.3,11.3,11.3,1,800,9040
12/28/23,11.4,11.4,11.3,11.3,4,1500,17010
12/27/23,11.5,11.5,11.3,11.5,11,12954,148341
12/22/23,11.6,11.6,11.5,11.6,8,4852,55943.1
12/21/23,11.5,11.6,11.5,11.5,3,1510,17366
12/19/23,11.6,11.6,11.5,11.5,3,835,9612.7
12/18/23,11.6,11.6,11.2,11.4,12,7822,89415.2
12/15/23,11.7,11.7,11.6,11.6,2,500,5800.1
12/14/23,11.8,11.8,11.7,11.7,5,950,11140
12/12/23,11.9,11.9,11.6,11.7,12,2188,25681.7
12/11/23,11.9,11.9,11.8,11.9,5,1690,20101
12/8/23,11.7,11.9,11.7,11.9,2,1201,14291.7
12/7/23,11.7,11.7,11.7,11.7,2,53,620.1
12/6/23,12,12,11.7,11.7,4,1813,21214.6
12/4/23,11.6,12,11.6,11.7,4,401,4677.6
12/1/23,11.9,12,11.5,11.8,15,18100,213511.9
11/30/23,11.9,12.1,11.9,11.9,5,3795,45175.5
11/29/23,12.2,12.2,12.2,12.2,3,1000,12200
11/28/23,12.4,12.5,12.3,12.4,5,1250,15495
11/27/23,12.5,12.5,12.4,12.4,3,351,4352.5
11/24/23,12.8,12.8,11.3,11.6,14,2834,33082
11/23/23,12.5,12.5,11.1,11.8,8,3100,36475
11/22/23,12.5,12.5,12.5,12.5,2,1500,18750
11/21/23,12.7,12.7,12.5,12.5,6,1035,12943.1
11/20/23,13,13,12.9,13,8,13794,179317
11/17/23,13.7,13.7,13.7,13.6,1,99,1356.3
11/16/23,13.4,13.8,13.4,13.6,22,5901,79787.4
11/15/23,13.8,13.8,13.5,13.5,21,9748,132138.6
