Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/4/24,6.2,6.2,6,6.1,47,134931,821172.2
11/1/24,6.1,6.2,6,6.1,47,182374,1111551.1
10/30/24,6.2,6.2,6,6,57,184731,1115688.7
10/29/24,6.3,6.3,6.1,6.1,51,173881,1061157.4
10/28/24,6.2,6.3,6.1,6.1,68,272303,1669690.9
10/25/24,6.3,6.3,6.1,6.1,23,27451,169541.5
10/24/24,6.2,6.3,6.2,6.2,49,188688,1170210.6
10/23/24,6.4,6.4,6.2,6.2,27,145101,901850.8
10/22/24,6.4,6.5,6.3,6.3,45,120276,766880.3
10/21/24,6.2,6.5,6.2,6.4,191,1008193,6402473.7
10/18/24,6.3,6.4,6.2,6.2,148,950399,5973647.8
10/16/24,6.3,6.3,6.2,6.3,70,518007,3258594.8
10/15/24,6.3,6.4,6.2,6.3,66,237622,1479634.6
10/14/24,6.1,6.6,6.1,6.3,303,2710660,17175023.3
10/11/24,6,6.2,6,6.2,76,555845,3374765.9
10/10/24,6.1,6.1,5.9,6,22,109058,646604.7
10/9/24,6.1,6.1,6,6,38,113960,683936.6
10/8/24,6,6.1,5.9,6,28,61682,366632.4
10/7/24,6,6.2,5.9,5.9,80,494209,2943831.4
10/4/24,6.1,6.3,6,6,81,265004,1615530.6
10/3/24,6,6.3,5.9,6.2,200,2351321,14340917.7
10/2/24,6.1,6.1,5.9,5.9,66,222348,1317617.4
10/1/24,6.1,6.1,6,6.1,33,180697,1090080.2
9/30/24,6.1,6.1,5.9,6,39,59570,358123.6
9/27/24,6,6.1,5.9,6,56,142712,849284.4
9/26/24,6.2,6.2,5.9,5.9,99,610698,3720669.6
9/25/24,6.1,6.2,5.9,6,123,666262,4000489.9
9/24/24,5.9,6.1,5.8,6,100,544061,3225707.6
9/23/24,5.6,6,5.6,5.8,66,213740,1233112.9
9/20/24,5.6,5.7,5.6,5.6,36,104657,590867.9
9/19/24,5.7,5.7,5.5,5.6,20,18574,103675
9/18/24,5.6,5.8,5.5,5.5,21,22250,123257.8
9/13/24,5.5,5.6,5.5,5.5,14,60151,330954.4
9/12/24,5.6,5.6,5.3,5.5,24,228810,1236395.5
9/11/24,5.5,5.6,5.4,5.5,15,52947,291186.5
9/10/24,5.4,5.5,5.4,5.4,13,205276,1108892.9
9/9/24,5.6,5.6,5.4,5.4,14,37154,201656.8
9/6/24,5.5,5.6,5.5,5.5,19,135126,743293.1
9/5/24,5.5,5.7,5.5,5.5,24,345075,1898958.5
9/4/24,5.5,5.5,5.4,5.5,17,67567,371398.5
9/3/24,5.5,5.5,5.3,5.3,45,342247,1814077.3
9/2/24,5.5,5.5,5.4,5.5,34,73021,397067.3
8/30/24,5.4,5.5,5.4,5.5,19,19679,107956.2
8/29/24,5.4,5.5,5.4,5.4,24,19057,103039.7
8/28/24,5.5,5.5,5.4,5.4,25,48474,262281.4
8/27/24,5.4,5.5,5.3,5.4,31,39229,212241.5
8/26/24,5.5,5.6,5.3,5.4,111,397371,2143929.1
8/23/24,5.6,5.6,5.5,5.5,81,209736,1153781.9
8/22/24,5.6,5.7,5.6,5.6,28,35120,196694
8/21/24,5.7,5.7,5.6,5.6,34,244951,1379180.7
8/20/24,5.7,5.8,5.6,5.6,32,142157,799687.4
