Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/12/24,160,165,160,160,11,4600,736200
8/9/24,160,160,159.75,160,12,702,112319.5
8/8/24,162.5,162.5,159.75,160,9,5150,824324.5
8/7/24,163,163,160,160,12,4623,739815
8/6/24,163,163,160,160,49,7378,1184474.5
8/5/24,165.5,165.5,163.25,163.25,7,175,28618.75
8/2/24,165.5,165.5,165,165,2,210,34655
8/1/24,165.5,165.5,165,165,6,1229,202785.5
7/31/24,165,165,164.5,165,14,16567,2733520
7/30/24,165,168,163,163.75,21,7617,1253145
7/29/24,164,165,164,165,6,227,37425.25
7/26/24,165.5,168.25,164.25,168,20,2835,470435.75
7/25/24,167,168.75,167,168.25,3,1505,253114.75
7/24/24,165,165,164.25,165,15,45036,7430937.75
7/23/24,165,165,165,165,5,340,56100
7/22/24,164,167,164,165,2,24,3972
7/19/24,165.25,165.25,164.75,165,13,2092,345189
7/18/24,168.75,168.75,168.75,168.75,3,300,50625
7/17/24,165.5,165.5,165,165,25,7062,1165232.5
7/16/24,165.75,166,165,165,15,825,136466.25
7/15/24,167.5,169.75,165,165.75,34,1796,299055.75
7/12/24,165.5,170,165.5,169.5,16,1023,171389.25
7/11/24,165.5,166,165,165.25,37,21171,3496447
7/10/24,166,166.5,165.25,165.5,28,4191,694243.75
7/9/24,166.75,166.75,165.25,165.75,16,890,147550.25
7/8/24,170,170,166,166.75,20,960,161428.5
7/5/24,168.5,170,166,170,12,1494,250500
7/4/24,170,170,165,166,36,19712,3306062.75
7/3/24,171,171,169.5,170,19,10429,1773201.25
7/2/24,169,172,169,169.75,18,4286,728901.5
7/1/24,172,172,168.5,170,28,6096,1038141.5
6/28/24,174,174,170,171.5,25,3841,656200.5
6/27/24,172,175,172,174.75,11,873,151873
6/26/24,172.75,173,172,172.25,15,31729,5462870.5
6/25/24,171.25,173,170.25,173,26,8541,1466896.75
