Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/1/24,15,15,14.9,14.9,32,162720,2439800
7/31/24,15,15.1,14.9,15,31,194045,2920468.5
7/30/24,15.2,15.2,15,15,28,118093,1772608.3
7/29/24,15.5,15.5,15.1,15.2,26,156414,2371914.4
7/26/24,15.2,15.2,15.2,15.2,5,26806,407451.2
7/25/24,15.2,15.2,15.1,15.2,7,29608,449580.8
7/24/24,15.5,15.6,15.3,15.5,27,200950,3092010.8
7/23/24,15,15.5,15,15.3,12,24900,375182.4
7/22/24,15.5,15.6,14.9,14.9,42,68109,1026798
7/19/24,15.1,15.3,14.9,15,39,196330,2947965.9
7/18/24,15.3,15.7,15.1,15.1,29,42632,643835.5
7/17/24,15.4,15.4,15.2,15.2,26,172292,2621475.2
7/16/24,15.9,15.9,15.5,15.6,22,38035,602827.6
7/15/24,15.9,16,15.2,15.8,27,113940,1782677.1
7/12/24,15.2,15.5,15.1,15.3,23,32249,492254.4
7/11/24,15.4,15.5,15.2,15.3,42,55961,860553.7
7/10/24,15.2,15.4,15.1,15.3,22,23539,355996.3
7/9/24,15.5,15.5,15.3,15.4,26,121451,1881964.4
7/8/24,15.7,15.7,15.2,15.3,57,38981,598584.7
7/5/24,15.7,15.7,15.3,15.5,39,76773,1188053.7
7/4/24,15.8,16,15.3,15.9,31,69283,1084167.5
7/3/24,16,16.4,15.9,15.9,25,21322,340571.8
7/2/24,16,16.5,15.9,16,27,33138,529389
7/1/24,16,16.6,15.9,16,53,91406,1473978.6
6/28/24,16,16.3,15.9,16,38,365468,5911856.5
6/27/24,16.2,16.4,15.9,15.9,40,57209,917293.2
6/26/24,16.1,16.3,16.1,16.2,17,12589,204510.3
6/25/24,16.2,16.3,16.2,16.2,33,75370,1221794.6
6/24/24,16.6,16.6,16.2,16.3,27,64439,1054779.7
6/20/24,16.4,16.6,16.2,16.2,16,41902,680334.5
6/19/24,16.5,16.6,16.1,16.1,16,20988,338848.1
6/18/24,16.8,16.9,16.1,16.2,60,174978,2879922.3
6/14/24,17,17,16.8,16.8,25,119252,2026701.3
6/13/24,16.9,17,16.8,17,32,198371,3354327
6/12/24,17.1,17.1,16.8,17,32,53700,912660.2
6/11/24,16.8,17.5,16.6,17.2,80,695745,11852252.4
6/11/24,16.8,17.5,16.6,17.2,80,695745,11852252.4
6/10/24,17.2,17.2,16.7,16.7,44,269766,4524118.1
6/7/24,17.4,17.4,17,17,25,453590,7711239.5
6/6/24,17.3,17.4,16.8,17.2,52,222883,3822249.7
6/5/24,16.7,17.2,16.7,16.9,89,301856,5100026
6/4/24,16.2,17,16.2,16.6,42,369618,6098191.9
6/3/24,16.1,16.4,15.9,16.3,25,11680,186811
5/31/24,16.3,16.6,16.1,16.2,32,46674,759545.4
5/30/24,16.4,16.5,16.3,16.4,50,89253,1469338
5/29/24,16.6,16.7,16.4,16.6,28,41812,689932.7
5/28/24,16.9,16.9,16.4,16.7,34,108233,1792878.2
5/27/24,16.8,17.2,16.8,17,22,24082,408108
5/22/24,17.1,17.2,16.9,17,93,722404,12289549.5
5/21/24,16.4,17.2,16.1,17.1,38,63617,1086087.1
5/20/24,17.4,17.5,16,17,50,62570,1052672.9
5/17/24,16.9,17.5,16.5,17.2,48,100304,1690536.8
5/16/24,17,17.3,16.6,16.6,57,99826,1668252.2
5/15/24,17.6,17.6,16.9,17,99,200083,3441962.6
5/14/24,17.8,17.8,17.3,17.3,51,69755,1217402.6
5/13/24,17.7,18,17.6,17.6,40,74396,1315257
5/10/24,18.4,18.4,17.6,17.8,248,1354362,24287013.4
5/9/24,18.9,18.9,18.6,18.8,44,72937,1358264.9
5/8/24,19.4,19.5,18.7,18.9,62,192076,3638171.3
5/7/24,19.9,19.9,19,19.2,85,371089,7105078.2
5/6/24,20,20.3,19.5,19.6,92,189114,3757597.6
5/3/24,19,20.2,19,19.9,309,3210127,63438635.3
5/2/24,19.4,19.5,19.1,19.1,107,538447,10304851.6
4/30/24,19.4,19.5,19,19.3,150,951699,18247246.8
4/29/24,18.8,19.4,18.7,19.3,174,1301194,24858402.6
4/26/24,19,19.3,18.7,18.8,201,502151,9508001.1
4/25/24,18.7,19.7,18.4,19.2,913,8339297,159503557.2
4/24/24,16.8,18.3,16.6,17.5,254,3164788,54911747.1
4/22/24,16.6,16.9,16.6,16.8,24,78239,1305776.5
4/19/24,16.6,16.7,16.6,16.6,42,344543,5721232.3
4/18/24,16.9,16.9,16.5,16.8,57,894120,14849483
4/17/24,17,17,16.4,16.8,86,308798,5139607.3
4/16/24,16.7,17,16.5,17,38,379247,6390902.2
4/15/24,16.7,17.1,16.7,16.7,40,193322,3236434
4/10/24,17.2,17.2,16.9,17,63,908578,15445401
4/9/24,16.8,17.3,16.7,17.2,66,452596,7661635.1
4/8/24,17.5,17.5,16.8,16.8,77,255343,4327665.7
4/5/24,17.4,17.5,16.9,17.4,109,547370,9487113.3
4/4/24,17.8,17.9,17.4,17.5,137,396473,6995082.7
4/3/24,17.2,17.8,16.9,17.6,255,2116453,36942369.8
4/2/24,16.4,17.3,16.4,17.1,400,3155739,53607478.8
4/1/24,16.2,16.4,16.1,16.4,68,494942,8088350.7
3/28/24,16,16.2,16,16.1,108,937967,15069003
3/27/24,16,16.1,15.8,16,64,520184,8319577.4
3/26/24,15.8,16.3,15.5,16,137,1277336,20367282.1
3/25/24,15.9,15.9,15.5,15.8,30,118014,1834601.5
3/22/24,15.4,16.2,15.4,16,101,1090426,17422979.3
3/21/24,15.8,15.8,15.5,15.5,32,85646,1329020.9
3/20/24,15.9,16.1,15.5,15.6,88,432156,6817433.9
3/19/24,16.2,16.2,15.6,15.9,100,620291,9861630
3/18/24,16.3,16.4,15.7,16.2,130,458404,7379826
3/15/24,15.2,16.4,15.1,16.1,354,2948861,46292599.7
3/14/24,15,15.2,14.6,15.1,116,1708115,25650592.2
3/13/24,14.9,15,14.5,14.9,51,205651,3042112.5
3/12/24,15,15,14.6,14.7,31,74680,1106279.1
3/11/24,14.7,15.1,14.5,15,138,681640,10215159.3
3/7/24,13.8,15,13.8,14.7,240,1804529,26319497.8
3/6/24,13.6,13.8,13.4,13.6,39,494668,6645527.9
3/5/24,13.4,13.9,13.4,13.7,75,480871,6592435.7
3/4/24,13.1,13.7,13,13.5,93,1208190,16160665.9
3/1/24,13,13.3,12.8,13.2,30,32919,424468.4
2/29/24,13.5,13.5,13,13.1,25,57779,753642.7
2/28/24,12.8,13.6,12.8,13.5,147,743789,9834635
2/27/24,13,13,12.8,12.9,16,4284,55081.5
2/26/24,12.7,13,12.7,13,128,472638,6068188.7
2/22/24,12.6,12.7,12.4,12.5,17,32131,402252.1
2/21/24,12.7,12.7,12.6,12.7,27,25265,320239.5
2/20/24,12.5,12.7,12.4,12.6,32,889296,11052710.2
2/19/24,12.4,12.6,12.3,12.4,71,770120,9549446
2/16/24,12.6,12.6,12.4,12.5,16,59864,747993.6
2/15/24,12.5,12.6,12.4,12.5,25,78551,982156.7
2/14/24,12.8,12.8,12.5,12.5,15,13641,170539.5
2/13/24,12.7,12.8,12.5,12.8,16,20813,263267.5
2/12/24,12.5,12.8,12.4,12.6,52,140881,1757052.5
2/9/24,12.3,12.5,12.3,12.5,8,41151,512637.4
2/8/24,12.7,12.8,12.5,12.5,35,141485,1775508.4
2/7/24,12.6,12.9,12.5,12.7,67,462812,5848911.3
2/6/24,12.3,12.8,12.2,12.6,172,1196661,15070133.8
2/2/24,12.5,12.5,12.1,12.2,26,174399,2154738.2
2/1/24,12.5,12.6,12.5,12.5,31,557520,6970000
1/31/24,12.2,12.5,12.1,12.2,12,21767,265736.1
1/30/24,12.5,12.5,12.1,12.5,6,18873,231097.5
